23
1  2  3  3.180 10.000 0.000 0.000 0.000 18.092 -0.346 4.932
2  4  5  2.000 40.000 18.092 -0.346 4.932 51.954 -5.020 25.705
4  6  7  1.260 40.000 51.954 -5.020 25.705 78.545 -9.317 55.276
6  8  9  0.790 100.000 78.545 -9.317 55.276 111.601 -17.529 149.297
8  0  0  0.500 150.000 111.601 -17.529 149.297 163.965 -2.632 289.069
9  0  0  0.500 150.000 111.601 -17.529 149.297 138.665 -30.973 296.221
7  0  0  0.790 289.000 78.545 -9.317 55.276 251.668 -61.060 280.825
5  10  11  1.260 40.000 51.954 -5.020 25.705 88.745 -15.038 37.791
10  0  0  0.790 289.000 88.745 -15.038 37.791 350.870 -130.453 76.404
11  12  13  0.790 100.000 88.745 -15.038 37.791 177.579 -60.639 32.404
12  0  0  0.500 150.000 177.579 -60.639 32.404 292.593 -138.820 -23.806
13  0  0  0.500 150.000 177.579 -60.639 32.404 259.458 -185.632 19.265
3  14  15  2.000 40.000 18.092 -0.346 4.932 55.216 9.594 16.024
14  16  17  1.260 40.000 55.216 9.594 16.024 81.655 18.091 44.812
16  18  19  0.790 100.000 81.655 18.091 44.812 170.842 31.486 88.013
18  0  0  0.500 150.000 170.842 31.486 88.013 305.710 97.114 86.159
19  0  0  0.500 150.000 170.842 31.486 88.013 300.808 94.676 128.212
17  0  0  0.790 289.000 81.655 18.091 44.812 277.567 158.728 204.062
15  20  21  1.260 40.000 55.216 9.594 16.024 91.603 24.867 22.561
20  0  0  0.790 289.000 91.603 24.867 22.561 375.988 74.617 35.635
21  22  23  0.790 100.000 91.603 24.867 22.561 167.654 39.423 85.841
22  0  0  0.500 150.000 167.654 39.423 85.841 232.672 38.094 221.011
23  0  0  0.500 150.000 167.654 39.423 85.841 266.486 64.396 195.880
