11
1  2  3  2.000 40.000 0.000 0.000 0.000 -45.490 -12.866 -11.489
2  4  5  1.260 40.000 -45.490 -12.866 -11.489 -84.335 -19.142 -18.677
4  6  7  0.790 100.000 -84.335 -19.142 -18.677 -162.567 -77.332 3.543
6  0  0  0.500 150.000 -162.567 -77.332 3.543 -292.617 -115.113 68.037
7  0  0  0.500 150.000 -162.567 -77.332 3.543 -289.570 -145.223 45.507
5  0  0  0.790 289.000 -84.335 -19.142 -18.677 -347.759 -109.227 -96.224
3  8  9  1.260 40.000 -45.490 -12.866 -11.489 -77.557 -26.257 -31.297
8  0  0  0.790 289.000 -77.557 -26.257 -31.297 -364.171 -61.026 -44.120
9  10  11  0.790 100.000 -77.557 -26.257 -31.297 -151.728 -23.029 -98.291
10  0  0  0.500 150.000 -151.728 -23.029 -98.291 -266.619 3.635 -190.969
11  0  0  0.500 150.000 -151.728 -23.029 -98.291 -281.148 0.124 -170.503
